institution_combo_group,academic_institution,position_group_rc,position_type,position_category,position_group_tenure,position_tenure,position_group_tenure_cat,position_percent_rcd,promoted,experience_rcd,experience_work,supervise_staff,supervise_student_workers,management_staff_role,position_hourly,position_fulltime,position_funding,onsite_remote,position_scope,education,education_related
R1 public,TRUE,FALSE,Staff,Manager,16,2,10+,100,TRUE,16,16,TRUE,FALSE,TRUE,FALSE,TRUE,Mixture,On-site at my employer,Multiple Institutions,PhD or Doctorate,Slightly related
Other,FALSE,NA,NA,Manager,3,3,2-4,100,FALSE,26,30,TRUE,FALSE,TRUE,FALSE,TRUE,NA,On-site at my employer,National,PhD or Doctorate,Slightly related
R1 public,TRUE,FALSE,Staff,Individual contributor,7,4,5-9,100,FALSE,7,18,FALSE,TRUE,FALSE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,Multiple Institutions,PhD or Doctorate,Moderately related
R1 public,TRUE,FALSE,Staff,Manager,2,8,2-4,30,FALSE,15,23,TRUE,TRUE,TRUE,FALSE,TRUE,Mixture,On-site at my employer,Research Group,PhD or Doctorate,Very related
NA,NA,FALSE,Staff,Manager,8,4,5-9,100,TRUE,8,12,TRUE,FALSE,TRUE,FALSE,TRUE,Mixture,On-site at my employer,Multiple Institutions,PhD or Doctorate,Moderately related
R1 private,TRUE,TRUE,"Other Academic (incl. Research Faculty, Postdocs)",Faculty,2,2,2-4,100,FALSE,3,12,FALSE,FALSE,FALSE,FALSE,TRUE,Mixture,A combination of remotely and on-site,"University, Company, or Institution",PhD or Doctorate,Extremely related
R1 private,TRUE,TRUE,Staff,Lead/principal individual contributor,6,6,5-9,80,FALSE,9,17,TRUE,TRUE,FALSE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,"University, Company, or Institution",PhD or Doctorate,Extremely related
R1 private,TRUE,FALSE,Staff,Senior individual contributor,13,13,10+,100,FALSE,13,25,TRUE,FALSE,FALSE,FALSE,TRUE,Mixture,A combination of remotely and on-site,Department,Master's Degree,Extremely related
R1 public,TRUE,FALSE,"Other Academic (incl. Research Faculty, Postdocs)",Director,12,12,10+,90,TRUE,12,19,TRUE,FALSE,TRUE,FALSE,TRUE,Mixture,A combination of remotely and on-site,Multiple Institutions,Master's Degree,Very related
R1 public,TRUE,FALSE,Staff,Senior individual contributor,0,0,<2,100,FALSE,5,17,FALSE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),A combination of remotely and on-site,"University, Company, or Institution",Master's Degree,Moderately related
R1 public,TRUE,FALSE,Staff,Individual contributor,3,3,2-4,30,FALSE,3,3,FALSE,FALSE,FALSE,FALSE,TRUE,Mixture,Remotely,"University, Company, or Institution",Bachelor's Degree,Slightly related
Other,FALSE,FALSE,Staff,Lead/principal individual contributor,32,25,10+,100,TRUE,52,NA,FALSE,FALSE,FALSE,FALSE,TRUE,Soft funding (grants or sponsored funding),A combination of remotely and on-site,National,Master's Degree,Moderately related
Other,FALSE,FALSE,NA,Lead/principal individual contributor,11,11,10+,100,FALSE,24,34,FALSE,FALSE,FALSE,FALSE,TRUE,NA,On-site at my employer,Multiple Institutions,Master's Degree,Very related
R1 public,TRUE,FALSE,Staff,Senior individual contributor,2,2,2-4,100,FALSE,6,6,FALSE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,Multiple Institutions,PhD or Doctorate,Slightly related
R1 public,TRUE,NA,Staff,Individual contributor,14,14,10+,100,TRUE,14,21,FALSE,FALSE,FALSE,TRUE,TRUE,Hard funding (university core funds),On-site at my employer,Center or Institute,Bachelor's Degree,Very related
Other,FALSE,FALSE,NA,Individual contributor,1,5,<2,90,FALSE,21,21,FALSE,TRUE,FALSE,FALSE,TRUE,NA,A combination of remotely and on-site,National,Master's Degree,Moderately related
R1 private,TRUE,FALSE,Staff,Individual contributor,0,0,<2,100,FALSE,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),Remotely,"University, Company, or Institution",PhD or Doctorate,Very related
R1 public,TRUE,FALSE,"Other Academic (incl. Research Faculty, Postdocs)",Faculty,2,2,2-4,100,FALSE,2,2,FALSE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),A combination of remotely and on-site,"University, Company, or Institution",PhD or Doctorate,Slightly related
R1 public,TRUE,FALSE,Staff,Director,9,6,5-9,20,TRUE,NA,NA,TRUE,FALSE,TRUE,FALSE,TRUE,Mixture,On-site at my employer,Multiple Institutions,PhD or Doctorate,Not at all related
R1 public,TRUE,FALSE,Staff,Manager,22,22,10+,80,FALSE,22,24,FALSE,FALSE,TRUE,FALSE,TRUE,Hard funding (university core funds),A combination of remotely and on-site,Department,No Bachelor's Degree,Very related
R1 public,TRUE,TRUE,Staff,Senior individual contributor,1,1,<2,50,FALSE,1,42,FALSE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,Department,Master's Degree,Moderately related
R1 private,TRUE,FALSE,Staff,Senior individual contributor,1,4,<2,100,TRUE,15,15,FALSE,FALSE,FALSE,FALSE,TRUE,Soft funding (grants or sponsored funding),On-site at my employer,Department,Master's Degree,Extremely related
Other,FALSE,NA,NA,Director,2,2,2-4,100,FALSE,14,30,TRUE,FALSE,TRUE,FALSE,TRUE,NA,Remotely,National,PhD or Doctorate,Slightly related
R1 public,TRUE,FALSE,Faculty,Faculty,2,2,2-4,100,FALSE,2,17,FALSE,FALSE,FALSE,FALSE,TRUE,Mixture,A combination of remotely and on-site,Multiple Institutions,Master's Degree,Extremely related
NA,NA,FALSE,Staff,Director,20,2,10+,80,TRUE,36,36,TRUE,FALSE,TRUE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,National,PhD or Doctorate,Very related
R1 private,TRUE,FALSE,Staff,Individual contributor,2,2,2-4,100,FALSE,2,2,FALSE,FALSE,FALSE,FALSE,TRUE,Mixture,On-site at my employer,"University, Company, or Institution",Master's Degree,Extremely related
R1 public,TRUE,FALSE,Staff,"AVP, VP, CIO, or other senior leader",11,11,10+,30,FALSE,35,46,TRUE,FALSE,TRUE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,"University, Company, or Institution",Bachelor's Degree,Very related
R1 public,TRUE,FALSE,"Other Academic (incl. Research Faculty, Postdocs)",Faculty,30,8,10+,50,TRUE,33,33,FALSE,FALSE,FALSE,FALSE,TRUE,Mixture,A combination of remotely and on-site,"University, Company, or Institution",PhD or Doctorate,Extremely related
R1 public,TRUE,FALSE,Faculty,Director,7,7,5-9,50,TRUE,34,34,TRUE,TRUE,TRUE,FALSE,TRUE,Mixture,A combination of remotely and on-site,Multiple Institutions,PhD or Doctorate,Very related
R1 private,TRUE,TRUE,"Other Academic (incl. Research Faculty, Postdocs)",Faculty,11,8,10+,100,TRUE,11,30,TRUE,TRUE,FALSE,FALSE,TRUE,Soft funding (grants or sponsored funding),A combination of remotely and on-site,"University, Company, or Institution",PhD or Doctorate,Slightly related
Medical,FALSE,TRUE,Staff,Director,NA,NA,NA,100,FALSE,16,27,TRUE,FALSE,TRUE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,Multiple Institutions,Bachelor's Degree,Extremely related
Academic Computing Center,TRUE,FALSE,Staff,Director,9,4,5-9,100,TRUE,9,29,TRUE,FALSE,TRUE,FALSE,TRUE,Mixture,Remotely,National,Master's Degree,Very related
R1 private,TRUE,FALSE,Staff,Lead/principal individual contributor,2,2,2-4,70,TRUE,2,22,TRUE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,Department,PhD or Doctorate,Moderately related
R1 public,TRUE,FALSE,Staff,Individual contributor,15,15,10+,100,FALSE,15,15,FALSE,FALSE,FALSE,FALSE,TRUE,I don't know,A combination of remotely and on-site,Multiple Institutions,PhD or Doctorate,Moderately related
R1 private,TRUE,FALSE,Staff,Individual contributor,3,3,2-4,50,FALSE,3,22,NA,NA,FALSE,FALSE,TRUE,Mixture,On-site at my employer,"University, Company, or Institution",Master's Degree,Very related
R1 private,TRUE,TRUE,Staff,Senior individual contributor,10,10,10+,100,FALSE,10,12,FALSE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,"University, Company, or Institution",PhD or Doctorate,Very related
R1 private,TRUE,TRUE,Staff,Director,7,7,5-9,100,TRUE,10,11,TRUE,FALSE,TRUE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,College or School,PhD or Doctorate,Slightly related
Other,FALSE,FALSE,Staff,Individual contributor,4,1,2-4,80,TRUE,15,15,FALSE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,Center or Institute,PhD or Doctorate,Very related
R1 public,TRUE,FALSE,Staff,"AVP, VP, CIO, or other senior leader",6,6,5-9,95,TRUE,8,31,TRUE,TRUE,TRUE,FALSE,TRUE,Hard funding (university core funds),A combination of remotely and on-site,National,Master's Degree,Extremely related
R1 public,TRUE,FALSE,Staff,Individual contributor,2,0,2-4,100,TRUE,2,3,FALSE,TRUE,FALSE,FALSE,TRUE,Soft funding (grants or sponsored funding),On-site at my employer,Research Group,Bachelor's Degree,Very related
R1 public,TRUE,FALSE,Staff,Lead/principal individual contributor,1,2,<2,90,TRUE,19,25,TRUE,TRUE,FALSE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,National,Bachelor's Degree,Slightly related
R1 private,TRUE,TRUE,Staff,Individual contributor,2,2,2-4,100,FALSE,2,8,FALSE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),A combination of remotely and on-site,"University, Company, or Institution",Bachelor's Degree,Extremely related
Other,FALSE,FALSE,NA,Lead/principal individual contributor,1,1,<2,60,FALSE,12,12,TRUE,FALSE,FALSE,FALSE,TRUE,NA,A combination of remotely and on-site,Center or Institute,PhD or Doctorate,Very related
R1 public,TRUE,FALSE,NA,Senior individual contributor,8,7,5-9,70,TRUE,10,16,FALSE,FALSE,FALSE,FALSE,TRUE,NA,A combination of remotely and on-site,Multiple Institutions,PhD or Doctorate,Very related
R1 public,TRUE,FALSE,Staff,Director,15,4,10+,100,TRUE,15,17,TRUE,FALSE,TRUE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,Multiple Institutions,PhD or Doctorate,Slightly related
Academic Computing Center,TRUE,FALSE,Staff,Individual contributor,4,4,2-4,100,FALSE,4,25,FALSE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,"University, Company, or Institution",PhD or Doctorate,Extremely related
R1 private,TRUE,TRUE,Staff,Senior individual contributor,8,2,5-9,100,TRUE,19,19,FALSE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,"University, Company, or Institution",Bachelor's Degree,Slightly related
R1 public,TRUE,TRUE,Staff,Senior individual contributor,2,2,2-4,90,FALSE,6,16,FALSE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,"University, Company, or Institution",Master's Degree,Not at all related
